variant,test_auroc,external_auroc,gap
gru_seed0_single,0.7263119637080708,0.6788934740285414,0.04741848967952944
gru_5seed_ensemble,0.7552974668782658,0.6845223047184092,0.07077516215985657
gru_attn_10model_ensemble,0.7624700496610114,0.6848318615733082,0.07763818808770317
gru_attn_cde_15model_ensemble,0.7697780320194013,0.7018462514746079,0.06793178054479343
gru_attn_cde_multihorizon_20model_ensemble,0.7708550811602436,0.7022198083053967,0.06863527285484694
