config,test_mean,test_std,external_mean,external_std,gap_mean,gap_std,n_seeds
dropout03,0.7394890039087052,0.012678542554260428,0.6816533858813383,0.014744365433607751,0.05783561802736684,0.02726203858801888,3
lr1e4_dropout02,0.742261331738382,0.0024184231170818363,0.6784138576238642,0.007760055251716314,0.06384747411451781,0.010092796404432374,3
dropout02,0.7380270234995319,0.006846054278351046,0.6731331747569019,0.012807973751729282,0.06489384874262998,0.019285264605510794,3
baseline,0.736839278035791,0.011995230713758862,0.6705551815435982,0.008597343054036928,0.06628409649219273,0.016635138579660168,3
lr1e4,0.7419190719975735,0.0031546432679999945,0.6747139507242529,0.010838621591641189,0.0672051212733205,0.012953367780955674,3
wd1e4,0.7376237194827371,0.010675487638839687,0.6664871798532883,0.019524598835101138,0.07113653962944881,0.022716010932635797,3
lr1e3,0.7325054264118397,0.011627567471500053,0.6588766057711772,0.01469309909959588,0.07362882064066238,0.00398103294767944,3
