feature,mean_abs_shap
hours_since_admission,0.5290319919586182
FiO2__tslm__z,0.4082161486148834
Temp__z,0.1776815950870514
Resp__z,0.1705857664346695
Creatinine__z,0.14592668414115906
HR__z,0.14286835491657257
BUN__z,0.13524767756462097
PTT__z,0.10584992170333862
Lactate__tslm__z,0.09975853562355042
SBP__tslm__z,0.09826941788196564
WBC__z,0.09501605480909348
Calcium__tslm__z,0.0874660462141037
Glucose__tslm__z,0.08722876012325287
Age__z,0.0867781713604927
Hct__tslm__z,0.07808168977499008
