model,test_mean,test_std,external_mean,external_std,gap_mean,gap_std,n_seeds
lightgbm,0.7856207273917638,0.002034476201094532,0.6703651369663444,0.006092023946107997,0.11525559042541944,0.00741888705832615,5
logreg,0.7700115365538567,0.0,0.6444741561444405,0.0,0.1255373804094162,0.0,5
tinysepsis,0.7398555738574095,0.00987177858050748,0.667445435287117,0.010933643746310858,0.07241013857029255,0.01532836593927921,5
xgboost,0.8049497309387462,0.0031640739844456104,0.6862264484053818,0.003365521612260233,0.11872328253336442,0.003345328149120294,5
