model,split,tau,empirical_fpr,alarms_per_1000h,normalized_utility
qsofa,test,0.01609242893755436,0.3619219728149967,362.969658724609,-0.26426928352854034
qsofa,external_test,0.01609242893755436,0.3106873531545563,311.81780044483963,-0.5298144642566407
news2,test,0.022288817912340164,0.060163248365787014,60.85310320126891,-0.006597024374795899
news2,external_test,0.022288817912340164,0.06140319349320767,62.13639110004142,-0.05990880964020136
logreg,test,0.034117646515369415,0.12060318887697576,125.10872716729487,0.28745172522950446
logreg,external_test,0.034117646515369415,0.049403965575767254,50.95999345668882,0.12113255170168274
xgboost,test,0.02839372679591179,0.11092761041745927,116.47877475141985,0.3663121240899036
xgboost,external_test,0.02839372679591179,0.05959545536231305,61.504486653492094,0.15721737094936786
lightgbm,test,0.029411764815449715,0.09818247846989243,102.82605358757014,0.31667405297035084
lightgbm,external_test,0.029411764815449715,0.042709477313418925,44.16735046027445,0.12646963035336867
tinysepsis,test,0.02632870152592659,0.10144225780790647,103.84936810328655,0.13669093595019638
tinysepsis,external_test,0.02632870152592659,0.1220356356036554,123.65670834509635,-0.023458618303207477
