seed,split,tau,temperature,raw_auroc,empirical_fpr,alarms_per_1000h,normalized_utility
0,test,0.02632870152592659,1.3425917625427246,0.7263119637080708,0.10144225780790647,103.84936810328655,0.13669093595019638
0,external_test,0.02632870152592659,1.3425917625427246,0.6788934740285414,0.1220356356036554,123.65670834509635,-0.023458618303207477
1,test,0.03071017563343048,1.5360764265060425,0.7343075968708588,0.09867533635388925,101.29960943495983,0.15262635855228565
1,external_test,0.03071017563343048,1.5360764265060425,0.6617203128045082,0.06827206591987647,69.36701379636055,0.00868649242794367
2,test,0.03125368803739548,1.2214380502700806,0.7498982735284433,0.1503130079894857,154.06000034110482,0.20238683127572146
2,external_test,0.03125368803739548,1.2214380502700806,0.6710517577977452,0.054941661175562255,55.85428468152807,0.009887945774304213
3,test,0.031794674694538116,1.7319813966751099,0.7402689577513466,0.11259640991941341,116.03533846127607,0.19965811965812097
3,external_test,0.031794674694538116,1.7319813966751099,0.651426945774557,0.06333339989217468,64.20360251495332,-0.013076555121315989
4,test,0.03914736211299896,1.6153041124343872,0.7484910774283282,0.10686369453187147,110.38152576194294,0.2047504484541536
4,external_test,0.03914736211299896,1.6153041124343872,0.6741346860302333,0.027965362778964744,28.56498325914942,0.01655573196547763
