variant,ablation,seq_len,split,auroc,auprc,n
ablation_full_seq24,full,24,val,0.7513353101927479,0.04209789916253482,117817
ablation_full_seq24,full,24,test,0.7262039156610112,0.035692780267036275,117266
ablation_full_seq24,full,24,external_test,0.6798688030153057,0.019840150905706476,758026
ablation_no_missingness_seq24,no_missingness,24,val,0.7254983371014199,0.04176751214229929,117817
ablation_no_missingness_seq24,no_missingness,24,test,0.6890752321486102,0.030936304648730095,117266
ablation_no_missingness_seq24,no_missingness,24,external_test,0.6944394964413512,0.01993001211241914,758026
ablation_full_seq12,full,12,val,0.7273127602613734,0.03650208933392636,117817
ablation_full_seq12,full,12,test,0.7166508150482297,0.03703632464045173,117266
ablation_full_seq12,full,12,external_test,0.6613652241710326,0.017253576583575198,758026
