subgroup,n,auroc,prevalence
age_0_50,24192,0.7213809581863391,0.0136408731341362
age_50_65,32790,0.6950239798017369,0.016102470457553864
age_65_80,42100,0.7452648224535408,0.01296912133693695
age_80_200,18184,0.7812642070292009,0.011548614129424095
gender_0,49226,0.7499553350790977,0.011823019944131374
gender_1,68040,0.7118333420676832,0.015167548321187496
