model,test_mean,test_std,external_mean,external_std,gap_mean,gap_std,n_seeds
multihorizon,0.7495720314813603,0.003690662936622961,0.6791648844879713,0.010422571480812102,0.07040714699338901,0.01075183054752385,5
tinysepsis,0.7398555738574095,0.00987177858050748,0.667445435287117,0.010933643746310858,0.07241013857029255,0.01532836593927921,5
